code,term
7H1..00,Abdominal wall operations
7H10.00,Simple excision of inguinal hernial sac
7H11.00,Primary repair of inguinal hernia
7H16.00,Primary repair of incisional hernia
7H17.00,Repair of recurrent incisional hernia
7H19.00,Reconstruction of anterior abdominal wall
7H1B.00,Other operations on anterior abdominal wall
7H1y.00,Other specified operations on abdominal wall
7H1z.00,Abdominal wall operations NOS
7H20.00,Open extirpation of lesion of peritoneum
7H21.00,Open drainage of peritoneum
7H24.00,Operations on mesentery of small intestine
7H25.00,Operations on mesentery of colon
7H26.00,Operations on posterior peritoneum
7H27.00,Other open operations on peritoneum
7H28.00,Therapeutic endoscopic operations on peritoneum
7H2A.00,Image controlled operations on abdominal cavity
7H2B.00,Other drainage of peritoneal cavity
7H2C.00,Other operations on peritoneum
7H2y.00,Other specified operations on peritoneum
7H2z.00,Operation on peritoneum
7H32.00,Excision of fascia
7H33.00,Extirpation of lesion of fascia
7H35.00,Release of fascia
7H36.00,Operation on fascia
7H37.00,Excision or aspiration of ganglion
7H3y.00,"Other specified operations on fascia, ganglion or bursa"
7H3z.00,"Fascia,ganglion and bursa operations NOS"
7H42.00,Plastic repair of tendon
7H43.00,Primary repair of tendon
7H44.00,Secondary repair of tendon
7H48.00,Other operations on sheath of tendon
7H49.00,Other operations on tendon
7H4y.00,Other specified operations on tendon
7H4z.00,Tendon operations NOS
7H52.00,Extirpation of lesion of muscle
7H54.00,Release of contracture of muscle
7H55.00,Biopsy of muscle
7H56.00,Other operations on muscle
43G2.00,Antimitochondrial autoantibod.
7H5y.00,Other specified operations on muscle
7H5z.00,Muscle operation
7H62.00,Excision or biopsy of lymph node
7H63.00,Drainage of lesion of lymph node
7H67.00,Other operations on soft tissue
7H6y.00,Other specified operations on lymphatic tissue
7H6z.00,Lymphatic tissue operations NOS
7Hy..00,Other specified operations on soft tissue
7Hz..00,Surgical procedure on soft tissue
7J...00,"Skull or spine, bone and joint operations"
7J02.00,Other operations on cranium
7J04.00,Other operations on bone of face
7J0y.00,Other specified operations on cranium or facial bone
7J0z.00,Cranium and facial bone operations NOS
7J13.00,Reduction of fracture of maxilla
7J17.00,Other operations on jaw
7J1y.00,Other specified operations on jaw or temporomandibular joint
7J1z.00,Jaw and temporomandibular joint operations NOS
7J2..00,Cervical and thoracic spine operations
7J20.00,Primary excision of cervical intervertebral disc
7J22.00,Primary fusion of joint of cervical spine
7J23.00,Primary operation on thoracic spine
7J24.00,Revisional operations on thoracic spine
7J25.00,Primary decompression operation on cervical spine
7J26.00,Revisional decompression operations on cervical spine
7J2y.00,Other specified operations on cervical or thoracic spine
7J2z.00,Cervical and thoracic spine operations NOS
7J30.00,Primary decompression operations on lumbar spine
7J31.00,Revisional decompression operations on lumbar spine
7J32.00,Primary lumbar discectomy
7J33.00,Revisional lumbar discectomy
7J35.00,Other revisional fusion of joint of lumbar spine
7J3y.00,Other specified operations on lumbar spine
7J3z.00,Operation on lumbar spine
7J4..00,Operative procedure on spinal structure
7J40.00,Operation on intervertebral disc
7J41.00,Decompression of fracture of spine
7J44.00,Correction of spinal deformity and instrumentation
7J45.00,Other correction of deformity of spine
7J46.00,Injection into paraspinal area
7J47.00,Exploration of spine
7J48.00,Operative procedure on spine
7J4A.00,Decompression of spinal cord
7J4B.00,Other instrumentation of spine
7J4C.00,Myeloscopy
7J4z.00,Other operations on parts of spine not otherwise specified
7Jy..00,"Other specified operations on skull or spine, bone or joint"
7Jz..00,"Skull or spine, bone and joint operations NOS"
7K0..00,Complex reconstruction operations on hand and foot
7K00.00,Complex reconstruction of thumb
7K01.00,Other complex reconstruction of hand
7K03.00,Complex reconstruction of hindfoot
43G5.00,Thyroid autoantibodies
7K04.00,Prosthetic replacement of bone
7K0z.00,Complex reconstruction operations on hand or foot NOS
7K11.00,Excision of ectopic bone
7K12.00,Other excision of bone
7K13.00,Extirpation of lesion of bone
7K14.00,Open surgical fracture of bone
7K15.00,Other surgical fracture of bone
7K16.00,Angulation periarticular division of bone
7K17.00,Periarticular osteotomy
7K18.00,Diaphyseal division of bone
7K19.00,Osteotomy of bone of foot
7K1A.00,Division of bone
7K1B.00,Bone reconstruction
7K1C.00,Drainage of bone
7K1G.00,Open reduction of fracture
7K1H.00,Secondary open reduction of fracture of bone
7K1L.00,Other closed reduction of fracture of bone
7K1P.00,Fixation of bone
7K1R.00,Other autograft of bone
7K1S.00,Bone graft
7K1T.00,Other open operations on bone
7K1U.00,Percutaneous diagnostic puncture of bone
7K1V.00,Therapeutic puncture of bone
7K1W.00,Other diagnostic puncture of bone
7K1y.00,Other specified operations on bone
7K1z.00,Operation on bone
7K2y.00,Operation on hip joint
7K2z.00,Hip joint operations NOS
7K3..00,Knee joint operations
7K35.00,Therapeutic arthroscopic operations on cavity of knee joint
7K36.00,Diagnostic arthroscopy of knee joint
7K37.00,Cemented unicompartmental knee replacement
7K38.00,Uncemented unicompartmental knee replacement
7K39.00,Hybrid unicompartmental knee replacement
7K3y.00,Other specified operations on knee joint
7K3z.00,Knee joint operation
7K4..00,Shoulder joint operations
7K43.00,Prosthetic cemented total shoulder replacement
7K44.00,Prosthetic uncemented total shoulder replacement
7K45.00,Prosthetic hybrid total shoulder replacement
7K4y.00,Other specified operations on shoulder joint
7K4z.00,Shoulder joint operations NOS
7K51.00,Soft tissue operations on joint of toe
7K5y.00,Other specified operations on foot joint
7K5z.00,Foot joint operations NOS
7K6..00,Joint operation
7K60.00,Total prosthetic replacement of other joint using cement
7K61.00,Total prosthetic replacement of other joint not using cement
7K62.00,Other total prosthetic replacement of other joint
7K68.00,Excision reconstruction of joint
7K6D.00,Revisional fusion of joint
7K6E.00,Fusion of joint of toe
7K6F.00,Primary open reduction of traumatic dislocation of joint
7K6G.00,Primary closed reduction of traumatic dislocation of joint
7K6H.00,Secondary reduction of traumatic dislocation of joint
7K6J.00,Primary reduction of injury to growth plate
7K6K.00,Open operations on synovial membrane of joint
7K6M.00,Primary prosthetic replacement of ligament
7K6N.00,Other prosthetic replacement of ligament
7K6P.00,Ligament reconstruction
7K6R.00,Operation on ligament
44M4.00,Serum albumin level
7K6T.00,Release of contracture of joint
7K6U.00,Other open operations on joint
7K6W.00,Therapeutic endoscopic operation on structure of joint
7K6X.00,Therapeutic endoscopic operation on cavity of joint
7K6Y.00,Diagnostic arthroscopy of joint
7K6Z.00,Puncture of joint
7K6y.00,Other specified operations on other joint
7K6z.00,Other joint operations NOS
7K7..00,Elbow joint operations
7K70.00,Prosthetic cemented total elbow replacement
7K71.00,Prosthetic uncemented total elbow replacement
7K72.00,Prosthetic hybrid total elbow replacement
7K8..00,Ankle joint operations
7K80.00,Prosthetic cemented total ankle replacement
7K81.00,Prosthetic uncemented total replacement ankle joint
7K82.00,Prosthetic hybrid total replacement ankle joint
7K90.00,Finger operation
7Ky..00,Other specified operations on other bone or joint
7Kz..00,Other bone and joint operations NOS
7L...00,Miscellaneous operations
7L00.00,Replantation of upper limb
7L02.00,Transplantation between systems
7L0D.00,Correction of congenital deformity of shoulder or upper arm
7L0E.00,Correction of congenital deformity of forearm
7L0F.00,Correction of congenital deformity of hand
7L0G.00,Correction of congenital deformity of hip
7L0H.00,Correction of congenital deformity of leg
7L0L.00,Correction of minor congenital deformity of foot
7L0M.00,Replantation of other organ
7L0N.00,Correction of complex craniofacial deformity
7L0y.00,Other specified operations covering multiple systems
7L0z.00,Operations covering multiple systems NOS
7L1..00,Other miscellaneous operations
7L10.00,Continuous infusion of therapeutic substance
7L14.00,Other blood transfusion
7L15.00,Transfusion
7L16.00,Intravenous injection
7L1E.00,Donation of other tissue
7L1F.00,Immobilisation using plaster cast
7L1K.00,Extirpation of unspecified organ
7L1L.00,Other operations on unspecified organ
7L1M.00,Anaesthetic without surgery
7Lz..00,Surgical procedure
7Ly..00,Other specified miscellaneous operations
7M...00,Subsidiary classification of methods of operation
7M0..00,Methods of operation NOC
7M00.00,Replacement of organ NOC
7M01.00,Placement of prosthesis in organ NOC
7M02.00,Attention to prosthesis NOC
7M03.00,Replantation of organ NOC
7M04.00,Excision of organ NOC
7M05.00,Laser surgery
7M06.00,Cauterisation
7M07.00,Cryotherapy
7M08.00,Curettage of organ NOC
7M09.00,Inject of sclerosing substance into organ NOC
7M0A.00,Ultrasonic destruction of organ NOC
7M0B.00,Other destruction of organ NOC
7M0C.00,Connection of organ NOC
7M0D.00,Release of organ NOC
7M0E.00,Biopsy of organ NOC
7M0F.00,Cytology of organ NOC
7M0G.00,Drainage procedure
7M0H.00,Microvascular repair of organ NOC
7M0J.00,Other repair of organ NOC
7M0K.00,Graft to organ NOC
7M0L.00,Removal of foreign body
7M0M.00,Incision of organ NOC
7M0N.00,Puncture of organ NOC
7M0R.00,Injection of therapeutic inclusion substance into organ NOC
7M0S.00,Injection of other substance into organ NOC
7M0T.00,Dilation of organ NOC
7M0U.00,Examination of organ NOC
7M0V.00,Manipulation of organ NOC
7M0W.00,Other method of operation on organ NOC
7M0X.00,Chemical destruction of organ NOC
7M0Z.00,Chemical destruction of lesion of organ NOC
7M0a.00,Obliteration of cavity of organ NOC
7M0y.00,Other specified methods of operation NOC
7M0z.00,Methods of operation NOC NOS
7M1..00,Approach to organ
7M10.00,Open approach to contents of cranium
7M11.00,Burrhole approach to contents of cranium
7M12.00,Approach to spine through back
7M16.00,Approach to organ through other artificial opening
7M17.00,Percutaneous approach to organ under image control
7M18.00,Minimal access approach via sinuses
7M1y.00,Other specified approach to organ
7M1z.00,Approach to organ NOS
7M20.00,Harvest of nerve
7M21.00,Harvest of random pattern flap of skin from limb
7M22.00,Harvesting of random pattern flap of skin
7M23.00,Harvest of axial pattern flap of skin
7M25.00,Harvest of flap of skin and fascia
7M26.00,Other harvest of fascia
7M27.00,Harvest of flap of skin and muscle of trunk
7M28.00,Harvest of flap of skin and muscle of other site
44PG.00,High density lipoprotein/total cholesterol ratio
7M29.00,Harvest of flap of muscle of trunk
7M2A.00,Harvest of flap of muscle of other site
7M2D.00,Harvest of other multiple tissue
4I35.00,Fluid sample chloride
7M2E.00,Harvest of other tissue
7M2y.00,Other specified harvest of organ
7M2z.00,Harvest of organ NOS
7M30.00,Early operations NOC
7M31.00,Late operations NOC
7M35.00,Other anaesthetic
7M36.00,Facilitating operations NOC
7M3y.00,Other specified type of operation or anaesthetic
7M3z.00,Type of operation or anaesthetic NOS
7My..00,Other specified subsidiary classification of operations
7Mz..00,Subsidiary classification of operations NOS
7N...00,Subsidiary classification of laterality and operation sites
A19..00,Disseminated tuberculosis
8....00,Therapeutic procedure
8134.00,Intestinal intubation
8135.00,Intestinal drainage
8136.00,Gastrointestinal decompression
813Z.00,Evacuation of GIT contents NOS
8153.00,Bronchus catheterised
8154.00,Intrauterine catheterisation
8155.00,Catheterisation
8156.00,Attention to urinary catheter
815Z.00,Other cannulation NOS
8163.00,Therapeutic aspiration-hygroma
816y.00,Other therapeutic aspiration
81H..00,Dressing of wound
81H1.00,Dressing of ulcer
81HZ.00,Wound dressing NOS
81Hy.00,Other wound dressing
81Z..00,Unwanted material removal NOS
82A..00,Correction by appliance
82A2.00,Orthopaedic deform.compensat.
82AZ.00,Correction by appliance NOS
82B..00,Replacement of displaced organ
82BZ.00,Displaced organ replaced NOS
82D..00,Other manipulations
82D1.00,Chiropraxy
82D2.00,Osteopathy
82D4.00,Physiotherapy manipulation
82DZ.00,Other manipulations NOS
82Z..00,Manipulation
8311.00,Bandaging
8313.00,Pelvic sling
8314.00,Immobilisation by bandaging
8315.00,Immobilisation by sling
831Z.00,Bandaging/sling support NOS
8343.00,Immobilisation of wound
834Z.00,Other rigid support NOS
836..00,Other restraint by appliance
836Z.00,Other appliance restraint NOS
838..00,Bodily support
46S7.00,Urine lactose level
8381.00,Body support
8382.00,Spinal frame
8383.00,Corset support
8384.00,Cardiac bed
8385.00,Water bed
8386.00,High air loss bed
838Z.00,Bodily support NOS
83Z..00,Immobilisation and support NOS
85...00,Other mechanical procedures
851..00,Haemorrhage control by packing
8512.00,Rectal packing-haemorr.control
8513.00,Pack non-obst.uterine bleeding
8531.00,Closed cardiac massage alone
853Z.00,External cardiac massage NOS
8551.00,Skeletal massage
8562.00,Acupuncture for analgesia
8571.00,Rhythmic percussion
8572.00,Vibration of cervix
857Z.00,Vibration - treatment
8581.00,Assisted exercise in pool
8582.00,Free exercises in pool
8583.00,Whirlpool therapy
858Z.00,Hydrotherapy NOS
859..00,Aerotherapy
8591.00,Therapeutic insufflation
859Z.00,Aerotherapy NOS
85AZ.00,Prosthesis NOS
85BC.00,Inject.lymphatics-local action
85BE.00,Injection of carpal tunnel
85C..00,Inject organ for local action
85C1.00,Inject kidney - local action
85C3.00,Inject prostate - local action
85C6.00,Inject heart - local action
85C7.00,Inj.pericard.sac-local action
85C8.00,Inject trachea - local action
85C9.00,Inject tympanum - local action
8611.00,Local heating - infrared irr.
8612.00,General body warming therapy
8614.00,Hot baths - therapy
861Z.00,Therapy by heating NOS
862..00,Therapy by cooling
8621.00,Local cooling therapy
8622.00,General cooling therapy
8623.00,Gastric cooling therapy
862Z.00,Therapy by cooling NOS
8634.00,Ultraviolet lesion destruction
8635.00,Other light coagulation
863Z.00,Radiation/phototherapy NOS
864..00,Nervous system electrical stim
8644.00,Eutrophic muscle stimulation
868..00,Desensitisation to allergens
8712.00,Emergency laryngeal intubation
871Z.00,Endotracheal intubation NOS
873..00,Other resp. resuscitation
8731.00,Manual resuscitation NEC
8735.00,Operative resuscitation NEC
873Z.00,Resuscitation
8741.00,Lung collapse therapy
8743.00,Controlled atelectasis
874Z.00,Lung collapse production NOS
8752.00,Plugging of flail chest
8753.00,Tension pneumothorax relief
875Z.00,Lung collapse prevention NOS
876..00,Respiratory medication
8763.00,Laryngeal intubation inhalat.
8765.00,Trial using nebuliser
876Z.00,Respiratory medication NOS
8772.00,Catalytic oxygen therapy
8774.00,Oxygenator therapy
877Z.00,Oxygen enrichment therapy NOS
8781.00,Mountain resort sanatorium
8782.00,Antigen-free surroundings
878Z.00,Atmospheric control NOS
879..00,Procedure on respiratory system
8793.00,Asthma control step 0
8794.00,Asthma control step 1
8795.00,Asthma control step 2
8796.00,Asthma control step 3
8797.00,Asthma control step 4
8798.00,Asthma control step 5
879Z.00,Other resp. procedures NOS
87Z..00,Respiratory procedures NOS
8833.00,Forced diuresis
8862.00,Arterial inject-general action
8863.00,Arterial inject.-local action
8864.00,Renal artery injection
8872.00,Operative extern. blood circul
887Z.00,Extracorporeal blood NOS
888..00,Indirect blood exchange
8882.00,Intestinal dialysis
888Z.00,Indirect blood exchange NOS
8891.00,Arterial perfusion
8892.00,Head/neck perfusion
88A..00,Other cardiovascular procedure
88A5.00,Anticoagulant therapy
88AZ.00,Other CVS procedure NOS
88Z..00,Cardiovascular procedures NOS
891..00,Pre-anaesthetic assessment
892..00,Informed consent for procedure
8920.00,Consent for operation given
8921.00,Consent for operation refused
8922.00,Consent to donate organs given
8A...00,Monitoring of patient
8A1..00,Metabolic monitoring
8A11.00,Metabolic crisis monitoring
8A12.00,Diabetic crisis monitoring
8A13.00,Diabetic stabilisation
8A14.00,Dehydration monitoring
8A15.00,Haemolysis monitoring
8A16.00,Starvation monitoring
8A1Z.00,Metabolic monitoring NOS
8A2..00,Psychiatric monitoring
8A21.00,Psychiatric observation
8A2Z.00,Psychiatric monitoring NOS
8A3..00,Neurological monitoring
8A34.00,Spinal cord function monitoring
8A3Z.00,Neurologic monitoring
8A42.00,Intrapleural pressure monitor
8A4Z.00,Respiratory monitoring NOS
8A51.00,Cardiac emergency monitoring
8A54.00,Cardiac output monitoring
8A55.00,Plethysmographic monitoring
8A56.00,Continuous blood sampling
8A5Z.00,CVS monitoring NOS
8A6..00,Renal function monitoring
8A8..00,Intensive care monitoring
8AZ..00,Monitoring of patient NOS
8B...00,Therapy
8B1..00,Emergency treatment
8B11.00,Emergency dressing
8B1Z.00,Emergency treatment NOS
8B2..00,Therapeutic prescription
8B21.00,Drug prescription
8B22.00,Replacement therapy
8B25.00,Reducing dose prescribed
8B2A.00,Prescription issued for patient on holiday
8B2Z.00,Therapeutic prescription NOS
8B31.00,Drug administration
8BC2.00,Medication given
8B34.00,Automated drug microinjector
8B35.00,Drug Rx stopped-medical advice
8B36.00,Patient on numerous drugs
8B37.00,No drug therapy prescribed
8B38.00,Drugs not issued
8B3A.00,Drug dosage altered
8B3B.00,Patient on self-medication
8B3C.00,Drug intake observed
8B3D.00,Drug dose - time changed
8B3E.00,Drug compliance good
8B3F.00,Placebo given
8B3H.00,Medication requested
8B3I.00,Analgesics requested
8B3J.00,Patient requests alternative treatment
8B3L.00,Patient treated with OTC (over the counter) medication
8B3M.00,Forgot to bring medication
8B3N.00,Prescription not collected
8B3O.00,Drug declined by patient
8B3P.00,Drug treatment unknown
8B3Q.00,Drug treatment stopped at end of clinical trial
8B3Z.00,Drug therapy NOS
8B41.00,Repeated prescription
8B42.00,Previous treatment repeat
8B4Z.00,Repeat treatment NOS
8B5..00,Dietary regime
8B51.00,Nothing by mouth
8B53.00,Light diet
8B54.00,Biliary stone dissolving diet
8B56.00,Phenylalanine-free diet
8B6..00,Prophylactic drug therapy
8B67.00,Prophylactic iron therapy
8B68.00,Pregnancy prophylactic therapy
8B6Z.00,Prophylactic drug therapy NOS
8B71.00,Iodine-goitre prophylaxis
8B72.00,Use of iodised salt
8B73.00,Administration of Vitamin D supplement
8B74.00,Iron supplement in pregnancy
8B75.00,Vitamin supplement - pregnancy
8B81.00,Anti-D globulin needed
8B82.00,Anti-D globulin given
8B8Z.00,Anti-D globulin NOS
8B9..00,Dietary prophylaxis
8B92.00,Low calorie diet - prophylaxis
8B93.00,Low salt diet - prophylaxis
8B94.00,Salt free diet - prophylaxis
8B95.00,Low protein diet - prophylaxis
8B9Z.00,Dietary prophylaxis NOS
8BA..00,Other misc. therapy
8BA2.00,Terminal care
8BA6.00,Homeopathic therapy
8BAA.00,Pain relief
8BAE.00,Dual therapy helicobacter pylori
8BAF.00,Triple therapy helicobacter pylori
8BB..00,Response to treatment
8BB0.00,Excellent response treatment
8BB1.00,Fair response to treatment
8BB2.00,Slight response to treatment
8BBz.00,Response to treatment NOS
8BC..00,Treatment given
8BC0.00,Treatment completed
8BZ..00,Therapy
8C...00,Regimes and therapies
8C11.00,Intensive nursing care
8C12.00,Nursing supervision
8C13.00,Intermediate nursing care
8C14.00,Incontinence care
8C1Z.00,Nursing care NOS
8C2..00,Promotion of healing
8C22.00,Oxygenation of slough
8C2Z.00,Promotion of healing NOS
8C31.00,Transplant immunosuppression
8C3Z.00,Immunological therapy NOS
8C4..00,Alimentary aid
8C42.00,Hyperalimentation
8C43.00,Prolonged intravenous feeding
8C44.00,Nasal tube feeding
8C4Z.00,Alimentary aid NOS
8C51.00,Provision of artificial arm
8C52.00,Electric operated typewriter
8C82.00,Female infertility therapy
8C83.00,Male infertility therapy
8C9..00,Reassurance given
8C92.00,Spouse reassured
8C93.00,Children reassured
8C94.00,Relatives reassured
8C95.00,Carer reassured
8C96.00,Neighbour reassured
8C9Z.00,Reassurance given NOS
8CA..00,Patient given advice
8CA0.00,Patient advised to inform insurance company
8CA8.00,Patient advised not to drive
8CA9.00,Patient advised to inform DVLA
8CAA.00,Patient advised to see solicitor
8CAB.00,Patient advised about exposure to the sun
8CAC.00,Patient advised about safe drinking - water
8CAD.00,Patient advised about the need for insect repellent
8CAE.00,Patient advised about the risks of HIV
8CAG.00,Pneumococcal immunisation advised in surgery
8CAZ.00,Patient given advice NOS
8CB..00,Had a chat to patient
8CC..00,TLC - tender loving care
8CD..00,Usual warning given
8CE..00,Self-help advice leaflet given
8CE0.00,Diabetic leaflet given
8CE1.00,Alcohol leaflet given
8CE2.00,Asthma leaflet given
8CE3.00,Blood pressure leaflet given
8CE4.00,Diet leaflet given
8CE5.00,Practice leaflet sent
8CF..00,Self-help group address given
8CG..00,Care programme approach level
8CG0.00,Care programme approach level 1
8CG1.00,Care programme approach level 2
8CG2.00,Care programme approach level 3
8CZ..00,Other care NOS
8D1..00,Dental aid
8D13.00,Removable denture insertion
8D14.00,Removable denture fitting
8D15.00,Removable denture adjustment
8D21.00,Provide head worn hearing aid
8D22.00,Provide body worn hearing aid
8D23.00,Ear fitting hearing aid
8D24.00,Replace hearing aid battery
8D2Z.00,Hearing aid
8D32.00,Prescription of spectacles
8D35.00,Spectacles for aphakia
8D3Z.00,Visual aid NOS
8D4..00,Locomotory aid
8D4Z.00,Locomotory aid NOS
8D57.00,Repair of appliance
8D58.00,Shin splint
8D6..00,Excretory control aid
8D61.00,Colostomy aid education
8D62.00,Colostomy bag fitting
8D63.00,Colostomy bag adjustment
8D64.00,Colostomy bag changed
8D65.00,Ileostomy aid training
8D66.00,Ileostomy bag fitting
8D67.00,Ileostomy bag adjustment
8D68.00,Ileostomy bag changed
8D69.00,Gastrostomy aid training
8D6A.00,Gastrostomy bag fitting
8D6B.00,Gastrostomy bag adjustment
8D6C.00,Gastrostomy bag changed
8D6H.00,Other urine stoma aid training
8D6I.00,Other urine stoma bag fitting
8D6J.00,Other urine stoma bag adjusted
8D6K.00,Other urine stoma bag changed
8D6Z.00,Excretory control aid NOS
8D7Z.00,Urinary bladder control NOS
8D8..00,Other non-surgical prosthesis
8D81.00,Facial non-surgical prosthesis
8D82.00,Breast non-surgical prosthesis
8D8Z.00,Other non-surg.prosthesis NOS
8D91.00,Special invalid transport
8D96.00,Hand powered tricycle
8D97.00,Powered three-wheeler
8D98.00,Invalid car
8D99.00,Motor vehicle adaption
8D9Z.00,Invalid transport facility NOS
8DA..00,Provision of medical equipment
8DA1.00,Loan of equipment
8DA2.00,Loan of bedpan
8DA3.00,Loan of commode
8DA4.00,Loan of urinary bottle
8DA5.00,Loan of crutches
8DA6.00,Loan of walking stick
8DA7.00,Loan of nebuliser
8DZ..00,Anatomo-physiological aid NOS
8E1..00,Visual defect-remedial therapy
8E2..00,Speech defect remedial therapy
8E22.00,Speech training
8E2Z.00,Speech remedial therapy NOS
8E3..00,Deafness remedial therapy
8E3Z.00,Deafness remedial therapy NOS
8E4..00,Oral rehabilitation
8E41.00,Masticatory exercises
8E42.00,Swallowing defect amelioration
8E4Z.00,Oral rehabilitation NOS
8E5..00,Muscular re-education
8E51.00,Neuromuscular re-education
8E52.00,Exercises for rigidity
8E53.00,Exercises for paralysis
8E54.00,Exercises for spasticity
8E55.00,Training of coordination
8E5Z.00,Muscular re-education NOS
8E6..00,Locomotor training
8E62.00,Leg prosthesis use training
8E63.00,Fitting/adjustment of crutches
8E6Z.00,Locomotor training NOS
8E7..00,Physical exercises
8E72.00,Active exercise
8E77.00,Pelvic floor exercises
8E78.00,Quadriceps exercises
8E7Z.00,Physical exercise
8E8..00,Passive exercise
8E82.00,Joint movement/exercise
8E83.00,Joint movement training
8E86.00,Continuous passive mobilisation
8E8Z.00,Passive exercise NOS
8E9..00,Other organ physical therapy
8E91.00,Combined physical therapy
8E94.00,Cardiovascular retraining
8E95.00,Reduction of oedema
8EZ..00,Other physiotherapy
8F...00,Rehabilitation
8F1Z.00,Recreational therapy NOS
8F2..00,Educational rehabilitation
8F25.00,Patient higher education
8F2Z.00,Educational rehabilitation NOS
8F31.00,Occupational need assessment
8F32.00,Domestic tasks therapy
8F33.00,Daily living activity therapy
8F3Z.00,Occupational therapy NOS
8F46.00,Change of work - same employer
8F49.00,Vocational resettlement
8F4Z.00,Vocational training NOS
8F5..00,Social rehabilitation
8F51.00,Domestic task rehabilitation
8F53.00,Organised games
8F5Z.00,Social rehabilitation NOS
8F61.00,Blind rehabilitation
8F71.00,Use of aids for daily life
8F72.00,Use of kitchen aids
8F73.00,Use of bathroom aids
8F74.00,Use of work aids
8F75.00,Use of indoor mobility aids
8F7Z.00,Daily life rehabilitation NOS
8F81.00,Convalescence after surgery
8F82.00,Medical illness convalescence
8F87.00,Mobilising
8F8Z.00,Convalescence NOS
8FZ..00,Other rehabilitation NOS
8G1..00,General psychotherapy
8G10.00,Psychotherapy - behavioural
8G11.00,Psychotherapy - cognitive
8G2..00,Functional psychotherapy
8G2Z.00,Functional psychotherapy NOS
8G32.00,Aversion therapy - alcoholism
8G33.00,Aversion therapy - somatic ill
8G3Z.00,Aversion therapy NOS
8G4..00,Stimulative psychotherapy
8G41.00,Provocative therapy
8G42.00,Competitive games therapy
8G4Z.00,Stimulative psychotherapy NOS
8G5..00,Daily life psychotherapy
8G52.00,Antiphobic therapy
8G5Z.00,Daily life psychotherapy NOS
8G6..00,Anti-suicide psychotherapy
8G61.00,Potential suicide care
8G62.00,Samaritans advisory service
8G6Z.00,Anti-suicide psychotherapy NOS
8G7..00,Anti-criminal psychotherapy
8G71.00,Care of potential criminal
8G81.00,Hypnosis for therapy
8G8Z.00,Therapeutic hypnosis NOS
8G9..00,Other psychotherapy
8G91.00,Therapeutic psychology
8G92.00,Learned heart rate control
8G93.00,Conscious B.P. control
8G9Z.00,Other psychotherapy NOS
8GB..00,Social case work
8GB1.00,Medical social worker involved
8GBZ.00,Social case work NOS
8GC..00,Voluntary social agency
8GD..00,Child guidance therapy
8GD1.00,Therapeutic child guidance
8GDZ.00,Child guidance therapy NOS
8GE..00,Social care
8GE1.00,Abandoned baby care
8GE2.00,Substitute mothering
8GE3.00,Care of disabled
8GE5.00,Holiday relief admission
8GE7.00,Foster care
8GEA.00,Care from relatives
8GEB.00,Care from friends
8GEZ.00,Other social care NOS
8GF..00,Other psychosociological care
8GF1.00,Economic rehab. measures
8GF3.00,Other socioeconomic measures
8GFZ.00,Other sociopsych. care NOS
8GZ..00,Psycho./socio.- therapy NOS
8H...00,Referral for further care
8H11.00,Admission to cardiac intensive care unit
8H12.00,Admission to respiratory intensive care unit
8H13.00,Admission to neurological intensive care unit
8H14.00,Admission to metabolic intensive care unit
8H15.00,Admission to burn unit
8H1Z.00,Admit to intensive c.u. NOS
8H2..00,Emergency hospital admission
8H23.00,Psychiatric emergency hospital admission
8H24.00,Geriatric emergency hospital admission
8H25.00,Admit paediatric emergency
8H26.00,Admit gynaecological emergency
8H27.00,Obstetric emergency hospital admission
8H28.00,Orthopaedic emergency hospital admission
8H29.00,ENT emergency hospital admission
8H2A.00,Trauma emergency hospital admission
8H2C.00,Rheumatology emergency hospital admission
8H2D.00,Dermatology emergency hospital admission
8H2E.00,Neurology emergency hospital admission
8H2F.00,Urology emergency hospital admission
8H2G.00,Radiotherapy emergency hospital admission
8H2H.00,Haematology emergency hospital admission
8H2I.00,Plastic surgery emergency hospital admission
8H2J.00,Diabetic emergency hospital admission
8H2K.00,Oral surgical emergency hospital admission
8H2L.00,Psychogeriatric emergency hospital admission
8H2M.00,Renal medicine emergency hospital admission
8H2N.00,Neurosurgical emergency hospital admission
8H2O.00,Cardiothoracic emergency hospital admission
8H2P.00,Emergency hospital admission for asthma
8H2Z.00,Admit hospital emergency NOS
8H3..00,Non-urgent hospital admission
8H32.00,Night hospital care
8H33.00,Day hospital care
8H34.00,Psychiatric day care
8H35.00,Admitted to alcohol detoxification centre
8H36.00,Non-urgent medical admission
8H37.00,Non-urgent surgical admission
8H39.00,Non-urgent geriatric admission
8H3C.00,Non-urgent obstetric admission
8H3E.00,Non-urgent ENT admission
8H3F.00,Non-urgent trauma admission
8H3J.00,Non-urgent neurology admission
8H3K.00,Non-urgent urology admission
8H3O.00,Non-urgent diabetic admission
8H3P.00,Non-urgent respiratory admission
8H3Q.00,Non-urgent psychogeriatric admission
8H3R.00,Non-urgent renal medicine admission
8H3S.00,Non-urgent neurosurgical admission
8H3T.00,Non-urgent cardiothoracic admission
8H3Z.00,Hospital admission
8H4..00,Referral to physician
8H41.00,General medical referral
8H42.00,Referral to paediatrician
8H43.00,Dermatological referral
8H44.00,Cardiological referral
8H45.00,Immunological referral
8H46.00,Neurological referral
8H47.00,Geriatric referral
